   ,TELEPULES,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
4561,sopron,62186,1373823;1374391;1374392;1374430;1374431;1376213;1376214;2838041;2838042,kpe,110,223.5000,
4562,sopron,62187,795089,kpe,110,79.7400,
4563,sopron,62188,1373275;1373276;1373452;1373453;1376193;1376208;1376209;15602043;15602044,kpe,90,236.4800,
4564,sopron,62189,794974,kpe,160,18.9500,
4565,sopron,62190,1380273;1380360;1380420;1380421,ac,200,61.1000,
4566,sopron,62191,1355074;1355077;1355078,ac,80,53.3200,1
4567,sopron,62192,1395407;1395413;1395418;1395419;1398428;1398429;2845601;2845602,ov,125,84.9500,3
4568,sopron,62193,1404143;2829217;2829218,ov,80,39.4200,
4569,sopron,62194,1394081;1394082;1396796;1396797,ac,150,76.6500,
4570,sopron,62324,781765,kpe,110,4.2100,
4571,sopron,62326,2809800;2809801,kpe,110,2.2800,
4572,sopron,62327,2809792;2809793,kpe,110,2.3000,
4573,sopron,62328,1405548;1405558;1405559;1405732;1405738;2809765;2809766;2809826;2809827,kpe,110,85.0900,
4574,sopron,62329,2809785;2809786;2809820;2809821,kpe,110,40.3800,
4575,sopron,62330,1405544;1405755;2809113;2809114;2809778;2809779,kpe,110,137.3900,1
4576,sopron,62331,6273309;6273450;6273456;6273457,kpe,110,21.0900,
4577,sopron,62438,1401996;2808731;2808732,kpe,110,44.6100,
4578,sopron,62458,1393213;1400062;1400070;1400071,ac,100,107.1800,
4579,sopron,62463,2846354;2846355,ov,100,9.9100,
4580,sopron,62506,785867,ac,250,138.0500,
4581,sopron,62507,1351542;1351546;1351551;1351557;47077841;47077842,kpe,315,68.1200,
4582,sopron,62526,1348762;1348767;1348801;1348805;1348806;1374335;1374336,kpe,90,84.5200,
4583,sopron,62641,1380777;1380782;1380783;1380957;1380962;1380967;1380973;1380974;2829935;2829936,ac,100,97.1800,
4584,sopron,62887,1373640;1373645;1374273;1374968;1378398;1378399;1396550;1396556;1396557;2845447;2845448,kpe,110,128.9000,
