,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
1,43302,1355556;1398284;1398285;1398290;1398296;1398302;1398308;1398314;1398320;1398326;1398332;1398338;1398344;1398345;1398350;1398356;1398362;1398368;1398768;1400273;1400278;2808794;2830033;2830034;6273420;6273421;6273934;6273935,ac,150,206.0200,
2,43325,1400422;1400423;2806902;6273474;6273475,ac,100,63.3200,
3,41441,1363298;1394745;2844040;2844041,ac,150,139.4400,2
4,41442,1362826;1362831;1362848;1362849;1362854;1362855;1362861;1362866;1362867;1362873;2834359;2834360,ac,80,91.0000,1
5,41455,1350436;1368851;1368857;1368858;1369596;1369601;1369602;2819639;2819640,kpe,160,121.7200,1
6,41460,1367378;1372325;1372332;1372333;2819632;2819633,ac,125,90.8200,1
7,41461,1374008;1374577;1374582;1374587;1374588;1374594;1374599;1374600;1374605;1374606;1374612;1374617;1374618;1374623;1374624;1374630;1403717;2817930;2817931;6273241;6273242,kpe,200,173.1300,
8,41463,1353318;1353323;1403189;1403195;1403207;1403213;1403706;1403707;1405266;1405267;2841524;2841525;2841852;2841853,ac,200,195.1300,2
9,41473,2817879;2817880,kpe,110,7.3200,
10,41477,1404072;1404077;1410708;1410709;2814989;2814990;2831637;2831638,ac,125,103.1500,
11,41488,6284644;6284649;6284650,kpe,160,8.5200,
12,41495,2806392;2806393,ac,250,299.8800,4
13,43918,1366457;1366458;1366464;1366469;1373593;1385940;2845722;2845723;36939957;36939958,kpe,160,243.4300,
14,43921,1356638;1356639;1366519;1366520;1373504;2845716;2845717;6274079;6274080;59199731;59199732,kpe,90,399.7100,
15,43926,1366433;1373521;1373522;1410185;1410186;6273315;6273316,kpe,110,142.4400,
16,43930,1375230;2839987;2839988;2840000;15259224;15259225,kpe,110,200.4500,
17,43931,1366787;1373779;1374475;1374476;1394214;1394219;1394220;1394430;1394431,kpe,90,263.6100,2
18,43935,2809596;2809597;2831952;64754106;64754107,kpe,110,115.8300,
19,43937,2831945;2831946,kpe,110,20.2700,
20,43947,1359280;1366721;1366722;1366727;1366732;1375977;1375978;1411233;2831877;2831878,kpe,110,186.0300,
21,43952,792261,kpe,32,28.6200,
22,43953,1366647;1366660;1366666;1366667;1366679;1366684;1366689;1366695;1366696;1366703;1366708;1405709;1405710;1410637;1410638;2831869;26931745;26931746,kpe,110,131.4700,
23,43969,1358236;1358240;1358241;1367096;1367097;1376041;1386863;1386864;1386870;1387044;1387045;1397411;1397412;1405494;1405495,kpe,160,292.8900,4
24,41002,1369608;1369613;1369619;1369626;1369633;1369640;1369647;1369653;1369654;2837891;2837892,kpe,160,239.3800,
25,41005,1351986;1351991;1353465;1353466;2837884;2837885,kpe,110,80.3900,
26,42000,1388881;2842164;2842165,kpe,110,11.3200,
27,42001,1370405;1370410;1397095;1397101;1397106;1397107;1397112;1397113;2808639;2808640;2812913;2812914;6274027;6274028,ac,100,217.5100,
28,42003,1402714;2819481;2819482;5810288;5810289,ac,100,63.5100,1
29,42004,1402692;1402693,ac,80,20.1500,
30,42006,1402223;1402227;1402228;2819455;2819456,ac,80,68.9600,
31,42009,1350161;1402673;1402677;1402678,ov,100,67.6200,
32,42034,1402942;1402947;1402952;1402953;2817817;2817818,kpe,63,145.9300,
33,42037,1394904;1394905;1402906;1402911;2817811;2817812,ac,100,62.0100,
34,41236,1355921;1403266;1403271;2819659;6273438;6273439,ac,100,44.7000,
35,41497,1353218;1353223;1353228;1353233;1353242;1353243;1353249;1353254;1353259;1353264;1353269;1353274;1353279;1353284;1353289;1353294;1353299;1353304;1353309;2841416;2841417;2841517;2841518,ac,200,167.4400,2
36,42510,2847735;2847736,kpe,90,8.2200,
37,42511,2843765;2843766,ac,80,72.1300,
38,42523,1352834;1358072;1358077;1358083;1358089;1358095;1358101;1358112;1358113;1358125;1358131;1358137;1358143;1358149;1358155;1358161;1358173;1358179;1358185;1358196;1358197;1378949;1378959;1378964;1378969;1378974;1378979;1379135;1387464;1387465;1387470;1387471;1387476;1387477;1396813;1396819;1396825;1396831;1396837;1396843;1396849;1396855;1396861;1396867;1396872;1396873;1407394;1407395;2821303;2821304,ov,80,353.7000,2
39,40742,1395539;1395542;1395543,ov,50,27.9000,
40,40743,1395615;1395620;1395624;1395625;2825545;2825546,ac,80,55.8900,1
41,40761,2841035;2841036,kpe,315,455.1500,
42,40764,1388032;1388036;2834581;2834582,kpe,110,108.9400,
43,40765,1350029;2834574;2834575,kpe,90,58.5600,
44,40768,1365349;1365353;1365358;1365363;1365368;1365373;1365378;1365383;2834588;2834589,ac,50,108.5400,1
45,40779,1377378;1401131;1401136;6274059;6274060;9355920;9355921,kpe,75,142.3800,11
46,40789,791310,ac,100,1.6900,
47,42043,1402854;1402858;1402863;1402868;1402873;1402878;2815511;2815512;2846301;2846302,ac,125,89.5900,
48,42049,2817754;2817755,kpe,63,14.9100,
49,42052,2843744;2843745,kpe,63,16.9500,
50,42054,2817674;2817675,ac,100,10.8300,
51,42059,2827630;2827631;86679289,ac,100,54.9200,
52,43056,1361039;1371850;1371851;2820301;2820302,ac,80,83.8500,1
53,43061,1411267;1411268;6289665,ac,125,38.1500,
54,43067,6283434;6283435,ac,100,14.8700,
55,43068,1352673;1352674,ov,100,78.5600,
56,43075,1357584;1357585;1394691;1394692;2824662;2824663,ac,100,56.5800,
57,43086,1357170;1360376;1385881;1385882;1392774;1392782;1392783;1410244;1410245;2810609;2810610,kpe,110,125.1400,
58,43088,2824569;2824570,ac,125,1.2000,
59,41242,1379653;1379657;1379662;2833032;2833033;6274115;6274116,ov,80,58.0400,
60,41255,2832952;2832953;6274474;6274475,ac,80,41.0600,
61,41257,2832946;2832947,ov,80,42.4100,
62,41262,1371311;1379744;1379745;1397506;2832933;2832934,ac,50,86.5700,1
63,42272,1351449;1351453;1351462;1351463;1351474;1351483;1351488;1353064;1353069;1353079;1353091;1353097;1353103;1353109;1353115;1353121;1353127;1353132;1353133;1389069;1389070;2842032;2842033;36618652;36618653,kpe,90,250.6900,15
64,42276,1374296;1374297;45442367,a,400,195.3300,3
65,42534,2811741;6283446;6283447,ac,150,20.7600,
66,42535,2825913;2825914,ac,150,5.3800,1
67,42537,1401972;1401979;1401980,ac,150,82.7400,2
68,42540,1401962;2825828;2825829,ac,150,125.5000,
69,42542,1401916;1401923;1401930;1401931;1401937;1401942;1401947;1401952;1401956;1401957;6289964;6289973,ov,80,131.3000,1
70,43578,1356955;1356961;6274231;6274232;6274238;6274239,ac,80,52.8100,1
71,43581,2809426;2809427,ov,100,6.0000,
72,43582,1349194;1372158;1372177;1372178;1372183;1372184;1372201;1372207;1372208;1373597;1373598;1375171;1375172;2845495;2845496;6289843;6289844,ov,80,128.1600,
73,43583,2809419;2809420,pvc,110,5.2600,
74,43585,1388261;1388262;2824925;2824926;2824944;2824945,kpe,110,49.6900,
75,43593,1367621;1367625;1367635;1367640;1367655;1367656;1391502;1391503;1405967;1405968;1407922;1407923,kpe,75,210.9900,1
76,43595,1366886;70414138;70414139,ov,80,28.6200,
77,41795,1354111;1354116;1354122;1393100;1393101;1394574;1394575;45442434,ac,100,112.1600,1
78,41801,1393861;1402638;1402644;1402650;1402656;1402661;1402662;1402668;2819428;2819429,ov,100,96.6700,2
79,41805,793248,a,600,12.2100,
80,41813,1362783;1362787;1362797;1362798;1372625;1409757;1409758;2842103;2842104,ac,150,223.3900,1
81,41820,2844811;10858327;10858328,ov,80,41.9700,
82,41822,1363147;1363151;1363156;2809863;2809864,kpe,160,61.2800,
83,43117,1366955;1366960;1366965;1366980;1366981;1394653;1394654;2824459;2824460;44116903;44116904,ov,80,78.6700,6
84,42277,1359097;1359102;1359108;1359113;1359118;1359123;2827822;2827823;6289753,ac,200,190.8700,1
85,42278,2812486,ac,200,17.4600,
86,42279,2829584;2829599;2829600,ac,200,19.5900,
87,42299,1359047;1362218;1362222;1362223;2829571;2829572,kpe,110,100.9900,
88,42305,2834199;2834200,kpe,110,42.4000,
89,42308,1362648;2834155;2834156,kpe,90,37.3000,
90,42318,1362608;1362614;1362615;2827761;2827762;2829544;2829545,ac,200,125.5200,1
91,42320,2827717;2827718,ac,200,74.1500,1
92,42321,2827725;2827726,ac,150,45.0800,
93,42322,54684735;54684736,kpe,160,4.6700,
94,42323,1362466;1362471;1362480;1362481;1362492;1362497;1405581;1405582;1407763;1407764;2825872;2825884;2825885,kpe,160,216.0500,1
95,43602,1358312;1358321;1358330;1358331;1366871;1366876;1366882;2842650;2842651;6273909;6273910,ac,50,88.3700,1
96,43617,1358392;1358398;1358403;1358408;1358413;1358417;1358418;2838737;2838738,ac,80,90.3300,
97,40475,1355523;1356711;1356716;1356722;1356728;1356735;1356741;1356747;1356753;1356759;1356765;1356771;1356777;1356783;1356784,ov,50,173.4400,3
98,40485,2811013;2811014,gov,300,97.5600,
99,42840,1370068;1370069;2812428;2812429,ac,100,39.3500,
100,42884,1378296;1378454;1378459;1378464;1378469;1378474;1393326;1393327;2844605;2844606;2846624;2846625,ov,100,142.0600,
101,42886,1390520;2811395;2811396;2844587;2844588,ac,80,69.0000,
102,41022,63868821,ac,250,96.3900,
103,41026,1397396;1411272;1411273,kpe,160,529.1300,
104,43356,2826370;2826371,ov,80,33.6000,
105,43372,2836812;2836813,kpe,160,2.9400,
106,43373,789437,kpe,200,35.4900,
107,43380,1399738;1399748;1399749;1399754;1399755;2835436;2835437,kpe,90,136.7000,
108,43383,1350382;1350387;2836760;2836761;2836782;2836783,kpe,110,68.5500,
109,43386,1371134;2811972;2811973,kpe,110,76.0600,
110,43387,1399726;2815191;2815192;2836748;2836749,kpe,160,81.6200,
111,43397,1375553;1399659;1399664;1399670;1399675;1399676;1399682;1399688;1399700;1399705;1399706;1399711;1399712;10859070;10859071,kpe,110,178.7100,
112,42548,1350053;1401900;1401905;1401910;1401911,ac,150,69.8000,1
113,42551,1402266;1402271;1402276;1402281;1402286;1402287;2828535;2828536,ov,80,96.3300,1
114,42560,1401840;1401841;1402241;1402246;1402251;2806425;2806426,ov,80,85.9200,3
115,42565,1401802;1401807;1401813;1401819;1401825;1401826;1401831;1401832,ov,80,107.1700,1
116,42567,1352950;1352956;1352962;1352968;1352974;1352980;1352986;1352992;1352998;1352999;1353004;1353005;2828444;2828445,ov,80,80.5300,3
117,42578,1352926;1352931;1352936;1352937;1393875;1393876,ov,80,81.2600,
118,42887,1378231;1378236;1390190;1390191;1390195;1390196;1390201;1390202;67924476;67924477,ac,100,174.1900,1
119,42894,1360407;1370026;1370027,kpe,110,18.9900,
120,42901,2843090;2843091,ac,80,9.0100,1
121,42902,790323,ac,80,21.3500,
122,43980,1369235;1369236;1369242;1369243;1387150;2831822;2831823,kpe,110,94.3500,
123,43981,1387098;1387104;1387109;1387114;1387120;1387126;1387132;1387138;1387142;1391975;1391976;2831803;2831804,kpe,110,98.0300,
124,43982,1348925;1355493;1360060;1389910;1389915;1389922;1389933;1389934;1389939;1389940;1389945;1389946;1389951;1389952;1389957;1389958;1392327;1392328;1393055;1393056,kpe,110,160.5800,
125,43994,1392314;2826042;2826043,kpe,110,105.1900,
126,44005,1380752;1380753;1380758;1380763;2829942;6274373;6274374,ac,125,41.4600,1
127,41070,1348723;1373755;1373763;1373768;1373769;2836136;2836137,kpe,110,90.5300,
128,41071,1375191;1393063;2838202;2838203;6274182;6274183,kpe,110,80.1600,
129,42062,2812644;2812645;2830440;2830441,ac,150,136.0700,
130,42065,1374199;1396578;1396579;1396584;1396585,ac,150,94.9400,
131,42070,789959,ac,250,32.7100,
132,42071,789957,ac,200,10.4900,1
133,42072,1401648;1401652;1401662;1401666;1401667;1401673;1401678;1401683;1401688;1401693;1401698;1402091;1402095;1402096,ac,200,92.1200,1
134,42083,2826002;2826003,ac,200,10.2300,
135,43400,1399654;2822362;2822363;2835466;2835467,kpe,160,81.5300,
136,43402,2835423;2835430;2835431,kpe,90,7.9900,
137,43403,1399978;1399988;1399989;1399999;1400000;1400010;1400011;2835415;2835416;6284601;6284602,kpe,110,116.2200,
138,40496,788503,kpe,63,3.2300,
139,40497,1368019;1368020,ac,80,73.2600,
140,40498,1373330;1390723;1390728;2823815;2823816;6274139;6274140,kpe,160,75.0000,
141,40502,2823740;2823741,ac,150,72.5200,
142,40503,1355337;1355347;1355348;1355354;1355359;1392206;1392213;2823733;2823734;6273985;20258550;20258551,kpe,110,100.5000,
143,41515,1353387;2817973;2817974;2841529;2841530;6273259;6273260,ac,125,95.9100,
144,41521,787629,ac,100,13.8300,
145,41528,2845703;2845704,ac,80,48.2000,
146,41531,787217,kpe,110,10.6800,
147,41532,787216,kpe,110,5.2200,
148,41533,2816466;2845696;2845697,kpe,110,23.4300,
149,53801293,53801308;53801344;53801395;53801408;53801409;53801423;53801437;53801451;53801464;53801465;53801478;53801479;53801493;53801507;53801534;53801535;53801549;53801562;53801563,gov,100,135.5300,
150,53801072,53801111;53801125;53801138;53801139;53801317;53801318,gov,100,92.8000,
151,53801080,53801151;53801152,kpe,110,23.7400,
152,44035,2812498;2812499,kpe,110,59.0400,
153,40797,1354832;1354837;1354838;1379700;1379735;2834457;2834458,ov,80,118.5400,1
154,40804,1364698;1364702;1364711;1364712;1364718;1364723;1364728;1364733;1373378;1402256;1402257,ov,80,127.7900,
155,40805,2818207;2818208;2823978;2823979,kpe,90,281.9700,
156,40819,1365035;1365040;1365041;2818181;2818182,kpe,63,50.4700,
157,40823,1364905;1365955;1365961;1365962;2822263;2822264,ov,100,84.3800,1
158,40824,792167,kpe,110,12.8500,
159,42084,6283392;6283458;6283459,kpe,90,25.7600,
160,42085,2830321;2830322,ac,200,13.5500,
161,42086,789551,kpe,200,18.2000,
162,42087,2827581;2827582,ac,200,52.9400,
163,42091,1393705;2826017;2826018,ac,100,5.7100,
164,42092,2830333;2830334,ac,100,4.1000,1
165,42093,789146,ac,100,30.8300,
166,42095,789141,kpe,110,0.7800,
167,42100,2828656;2828657,kpe,110,53.7300,
168,42130,1367368;1378774;1378921;1378922;2847464;2847465,pvc,110,55.7900,1
169,43122,1376391;1376395;1376405;1376410;1376415;1376420;1376425;1376430;1376435;1376440;1376445;1376450;1376455;1376460;1376465;1376470;2818930;2818931;6273223;6273224,ov,100,129.5200,2
170,41307,1403793;1403798;1403799;2831056;2831057,ac,125,55.4000,
171,41330,1395007;1395011;1395016;1404214;2830904;2830905,ov,50,72.6600,
172,41335,1404152;1404158;1404164;1404170;1404176;1404177;1404184;1404190;1404191;2829223;2829224;2830862;2830863,ov,50,120.3400,
173,43796,1399410;1399420;1399425;1399430;1399435;1399440;1399445;1399450;1399455;1399460;1399465;1399470;1399475;1399480;1399485;1399490;1399495;1399500;1399504;1399505;2829886;2829887;78965740;78965741,kpe,110,187.4700,2
174,43799,1398984;1398985;1398989;1398995;1399001;1399002;1399007;1399008;1399013;1399019;1399025;1399031;1399380;1399381;1399558;6274292;6274293;6274468;6274469,pvc,90,290.3700,2
175,43800,1399052;1399053;1399064;1399065;1399070;1399076;1399082;1399088;1399089;1399369;1399563;1399574;1399579;1399580;1399592;1399597;1399598;1399603;1399615;1399616;1399621;1399622;1399627;1399634;1399639;2829832;2846762;2846763;6274341;6274342;58150286;58150287;63124626;63124627,kpe,110,354.5500,2
176,43801,1386767;1395940;1395941;1395946;1395952;1395953;1398974;2807542;2807543;74018057;74018058,kpe,160,79.3500,2
177,43804,1399352;2812471;2812472;2847368;2847369;6274410;6274411,kpe,90,121.2300,
178,43818,1352439;1352445;1356544;1356545;1361934;1386695;1386696;1386704;1386705;1406154;1406155,ac,100,141.1700,
179,40855,1365433;1365438;1365443;1365885;1365894;1365899;1365909;1365914;1377514;1377515;1377521;1377526;1377527;2841608;2841609;2845243;2845244,kpe,110,198.2300,
180,41866,1402176;2839314;2839315,kpe,110,21.9500,
181,41867,1363527;1363531;1363536;1363541;1402169;2842253;2842254,ac,100,93.3400,
182,43136,1377967;1377972;1378119;2822728;2822729;14559912;14559913,ac,50,80.3600,
183,43179,1361727;1361737;1394660;1394661;2820805;2820806;2847639;2847640;6273702;6273928;6273929,ov,80,98.6600,1
184,43180,1361229;1361234;1376721;1376727;1376732;1376733;1388267;1388268;2820701;2820702;2820811;2820812,ac,100,90.1600,2
185,42340,2810673;2810674,kpe,110,135.1600,1
186,42342,1363522;1363523,kpe,90,19.9000,3
187,42346,1355536;25586207,ac,300,138.7300,
188,42347,2827740;2832477;2832478,gov,100,49.2400,
189,42348,791609,ac,100,33.7300,
190,42350,1362978;1362979,ac,100,84.3900,1
191,42352,2832437;2832438,gov,250,60.2300,
192,42356,791204,ac,300,10.5200,
193,42357,2827703;2827704,ac,300,22.2700,
194,42359,791198,ac,300,19.9800,
195,42360,791196,ac,300,60.0800,
196,42361,1355057;1377025;1377026,ac,250,75.1100,
197,42362,2847859,gov,200,73.8800,
198,42365,2832390;2832391,gov,300,3.8200,
199,42366,1359539;2833591;2833592,gov,300,71.5600,
200,42367,6284583;6284584,kpe,200,244.2000,
201,42368,6284806;6284807,ac,300,277.0300,
202,42371,1395268;1395273;2806659;2806660;2815042;2815043,ac,80,71.6700,1
203,42376,2825858;2825859,kpe,160,16.2100,
204,42379,2827683;2827684;2827690;2827691,ac,150,183.3100,1
205,43828,1373030;1387444;1387445,ac,100,25.1000,
206,40602,1367420;1408840;1408841;13413104;13413105,kpe,200,2326.0000,
207,40603,1410383;1410384,kpe,110,347.1200,
208,40604,1356834;1369585;1392577;1392578,kpe,110,1074.7900,
209,40607,1372922;1405394;1405395;1407406;1407407,kpe,63,83.9800,1
210,40609,786915,kpe,110,15.2300,
211,40611,1394830;1394831;1398177;1398182;1398187;1398192;1398197;1398202;1398207;6273169;6273732;6273733,kpe,90,156.7300,
212,40612,2845995;6284819;6284820,ac,300,68.6900,1
213,40614,2831324;2831325,ac,250,1.2500,
214,40628,2846421;2846422,kpe,63,10.7300,
215,40631,2831167;2831168,kpe,110,15.3000,
216,41904,1364200;1364205;1364210;1364215;1364220;1364225;1364230;1364235;1364240;1364246;1364251;1364256;1367372;1367373;2809242;2809243,ov,80,92.8900,4
217,41905,1363096;1363101;1363106;1363111;1363116;1363121;1363126;1363127;1364266;1364272;1364273;2809236;2809237,ov,80,76.8800,2
218,41906,792054,ov,80,6.3500,
219,42907,1378114;1378115,ac,50,20.2800,
220,42924,1361919;1393903;1396397;1396403;1396404;1396409;1396410;1396415;1396421;1396422;2818467;2818468;2844746;2844747,kpe,160,115.2500,
221,42383,790778,ac,150,6.7400,
222,42384,790777,ac,150,7.6500,
223,42388,1378705;1378709;1378714;1378719;1378724;2830530;2830531,kpe,160,116.5600,1
224,42391,2825815;2825816,kpe,63,25.2100,
225,42396,1378657;1378661;1378666;1378671;1378681;1378686;1405414;1405415;2827710;2827711,ac,200,158.5200,3
226,42397,790372,ac,100,15.1300,1
227,42404,52409422;52409423,ac,100,28.1700,3
228,41643,1368675;1372105;1372109;1372344;1372345;1372350;1372351;2816459;2816460;2821669;2821670;6273726;6273727,ac,125,164.3200,7
229,41660,790048,ac,400,175.9300,
230,41669,1396884;1396890;1396895;1396896;2832572;2832573;2844015;2844016,ac,80,77.1300,
231,41672,1403245;1403246,a,50,22.1600,9
232,41684,789626,ac,400,118.4900,1
233,41691,1403132;1403136;1403141;2830672;2830673,ov,80,53.7400,1
234,42964,2831511;2831512,ac,150,3.3900,
235,42966,2818408;2818409,ac,125,5.1700,
236,42967,788675,ac,125,52.9000,
237,42973,1401144;1401149;1401155;1401156;61014655;61014666;61014667,ac,100,77.6400,5
238,44051,1352146;1352151;1352156;1352161;1352166;1352171;1355856;1356017;2808513;2808514;2812011;2812012;32144935;32144936,kpe,160,122.7400,1
239,44056,1355769;1355773;1355778;1355783;1355793;1355798;1372736;1372737;2836598;2836599,pvc,125,95.6500,2
240,44062,1355758;1355832;1355833;1355839;1355845;2836446;2836447;2836536;2836537,kpe,160,60.8100,
241,44066,1394928;1394929,gov,100,5.8100,
242,44067,1359477;1392188;1392189;2820313;2820314;38997400;38997401,kpe,75,64.4500,
243,44069,1356555;1356556;1356560;2827920;2827921;26931552;26931553,kpe,110,61.7200,1
244,41093,1364494;1364499;2836041;2836042;2836048;2836049,kpe,110,109.2600,
245,41099,792135,ac,150,26.0000,
246,41114,1363937;1363942;1363947;1373314;2825411;2825412;79840955,ov,50,109.8900,1
247,41118,1389650;1389651;1389656;1389662;1389666;1389667,ac,150,143.6000,
248,41125,1393534;1393540;1393546;2836086;2836087;2836092;2836093,kpe,110,77.0200,
249,41126,1369173;1369174;2825336;2825337,kpe,110,88.6500,
250,41127,1356279;1364371;1364376;1364381;1364386;1364391;1364396;2825322;2825323,kpe,110,94.2900,
251,41145,2825286;2825287;6283428;6283429,kpe,110,108.2400,
252,43463,1396157;1396158;1396163;1396168;1396173;1396178;2820160;2820161,ac,200,79.2000,
253,41702,1353930;1403582;1403583;2832635,kpe,200,208.0600,1
254,41704,1390967;1403559;1403564;1403570;1403575;1403576,ov,80,99.9400,
255,42700,1360271;1376933;1376934;1376940;1376945;1376950;1376951;1376957;1376962;1393607;2831542;2831543,kpe,110,73.2800,
256,42701,1367980;1367985;1375118;1378520;1378521;1378525;1393581;1393585;1393586;2836332;2836333,kpe,110,90.9000,
257,42706,29762405;29762406,kpe,63,34.0200,
258,44077,1356125;1356130;1366423;1366424;1371928;1371929;1373866;6274555;6274556,kpe,110,111.8200,
259,44082,1348931;1348941;1350058;1350209;1351224;1359575;1360247;1366417;1366418;1389963;1389967;1389968;1389973;1389974;1408852;1408853;2826232;2826233,kpe,110,320.4600,
260,44086,1386204;1386213;1386214;1386224;1386225;1386235;1386236;1386241;1386246;1386251;1386256;1386266;1386267;1390013;1390014,kpe,110,144.2400,
261,44095,2826132;2826133,kpe,110,11.9100,
262,44112,1395979;2807722;2807723;2826183;2826184;6274323;6274324,ac,50,82.1800,
263,44114,1390598;1390599;1390604;1390605;1392716;1395989;1395990;1395995;1405803;1405804;1410835;1410836;2807715;2807716;2846328;2846329,kpe,110,254.5400,
264,40876,1377408;1377418;1377419;1377424;1377429;1377434;1377439;1377454;1377455;1377460;1377461;1380011;1380012;1380023;1380027;1380028;2845146;2845147,kpe,90,116.0300,3
265,42133,1378843;1378848;1378853;1378858;1378869;1378875;1378880;1378881;1378891;1378892;1378897;1378898;1392282;1392283,pvc,110,132.4300,
266,42150,1369024;1369031;1369051;1369061;1369065;1369066;1374237;1374238;1392673;1392674;1396621;1396622;1396627;1396628;1396633;1396634;1396639;1396640;1396646;1396651;1396652;1396658;1396663;1396670;1396675;1396676;2841239;2841240,kpe,90,261.6900,5
267,42175,2842246;2842247,kpe,110,67.6300,
268,40323,778311,kpe,160,1.2900,
269,40324,1391948;1391952;1391958;1391962;1391963,kpe,110,46.4700,
270,40325,1380792;1380979;1380991;1381002;1381003;1381014;1381021;1381026;1381027;1387776;1387787;1387788;1387793;1387794;1387800;1388015;1388021;1396001;1396002;6274329;6274330,ac,100,191.4500,1
271,40326,778315,ac,80,1.8000,
272,40328,778061,a,250,1.3200,
273,40332,1396594;1396598;1396599,ac,100,39.4700,1
274,40338,779655,kpe,110,11.7700,
275,40358,83329665;83329666,kpe,160,36.3900,
276,40359,780168,kpe,160,123.6300,1
277,42734,1367106;2822325;2822326,kpe,315,32.7700,
278,42736,1385571;1385575;1385576,kpe,315,174.6300,
279,42743,1361356;1361357;1361362;1377995;1377996;1378001;1378002;2830186;2830193;2830194;6273689;6273690;82599372;82599373,ac,125,77.7100,1
280,43836,1356265;1356266;1408230;6274298;6274299,ac,100,95.4800,
281,40531912,40531911,kpe,110,3.5800,
282,40531926,40531925,kpe,200,0.3900,
283,40531932,40532059;40532504;40532519;40532547;40532561;40532575;40532588;40532589,kpe,110,45.6500,
284,40531941,40532085;40532086,kpe,110,6.8000,
285,40531949,40531948,kpe,110,0.9600,
286,40531957,40532108;40532109,kpe,110,24.3700,
287,40531963,40531962,kpe,110,0.3300,
288,40531904,40532068;40532099;40532644;40532659;40532672;40532673;40532700;40532701;40532728;40532729;40532743;40532756;40532812;40532813;40532826;40532827;40532840;40532841;40532854;40532855;40532868;40532869;40532882;40532883;40532896;40532911;40532924;40532925,kpe,110,155.8400,
289,43862,1399835;1399839;1399844;2812492;2812493,kpe,110,163.7700,
290,43869,1352523;1352528;1352533;1352539;1352544;1359057;1359062;1359067;1359072;1359077;1359082;1359087;2812478;2812479;2835214;2835215,kpe,110,292.5300,2
291,40886,1379996;1380006;1392254;1392446;1392447;2843412;2843413;2843455;2843456,ac,100,99.6500,1
292,40899,1371120;1374945;1379863;1385823;1385824;2841742;2841743,kpe,110,205.2600,
293,41927,2843809;2843810,kpe,110,10.9600,
294,41928,791645,ov,80,66.2600,1
295,43214,1381078;1381083;1381088;1381092;1381093;2832002;2832003,ov,80,101.6100,
296,43215,2832008;2832009,kpe,110,19.5500,
297,40531972,40531971,kpe,110,7.5200,
298,43217,791127,kpe,110,31.5300,
299,40531978,40532117;40532118,kpe,110,14.3800,
300,40532207,40533044;40533045,kpe,160,7.9100,
301,41393,1354546;1354551;1364072;1364077;1364083;1364089;1364095;1379690;1379695;1391004;1391005;1407910;1407911;2812688;2812689;2833045;2833046;75044266;75044267,ov,80,142.0800,
302,41405,1364015;1364016;1364026;1364027;1364032;1364037;2827045;2827093;2827094,ov,50,90.9400,
303,41422,1379355;1379360;1379369;1379370;1379376;2825237;2825238;2834308;2834309,kpe,160,89.9800,2
304,41428,2825232;2825233,kpe,160,14.8900,
305,41431,1354184;1354189;1354194;1354199;1354204;1363336;1363345;1363351;1363357;1363363;1363369;1363374;1363375;2825218;2825219,pvc,90,87.9300,1
306,42412,1359517;1359518;1360031;1373302;1373303;1373308;1373309;1374137;1374138;2823116;2823117;2833076;2833077,kpe,110,282.6100,
307,42417,1357218;1360007;1370842;1371041;1371042;1396545;1396546;5810322;5810323,ac,125,74.6300,2
308,43876,2834794;2834795,kpe,200,169.7300,
309,43878,1352491;2833585;2833586,kpe,200,51.3300,
310,43881,2845427;2845428,gov,200,13.7100,
311,43894,787392,ac,400,84.5000,
312,43898,2833471;2833472,gov,200,15.6000,
313,43899,1349788;2833452;2833453;2833459;2833460;6274158;6274159,kpe,110,130.5600,
314,43902,2829665;2829666;65972783;65972784,kpe,160,157.1900,
315,40654,1365163;1365167;1365172;2831124;2831125,kpe,90,53.8200,
316,41936,1349784;1377156;1377162;1377170;1377179;1377183;1377184;1377190;1377191;1398559;1398565;1398571;1398576;1398577,kpe,90,220.3600,3
317,41944,2843868;2843869,ac,400,194.6400,
318,41946,2843845;2843846,ac,400,8.2000,
319,41959,1379045;1379050;1379055;1379056;1379061;1379062,ac,250,76.1800,1
320,41966,1398549;2822553;2822554,ac,250,186.1800,
321,41967,1358897;1358903;1358914;1358919;1358920;1358925;1358930;1358935;1358945;1358949;1358950;1379141;1379153;1379160;1379166;1379171;1379172;1379177;1379178;1392081;1392082;2845521;2845522,ac,80,311.7200,4
322,41982,1394065;1402734;1402735,ac,80,32.8800,1
323,42438,1396534;1396539;1396540;6274045;6274046,ac,100,73.3000,2
324,42453,1363848;1363853;1363858;1363863;1363868;1372388;2811000;2811001;2839465;2839466,ov,80,115.8100,
325,42447,1351195;1373948;1375027;1375683;1375684;2836339;2836340,kpe,110,127.5500,
326,43482,2846805;2846806,kpe,160,1.6200,
327,43484,1362228;1375146;67491910;67491922;67491923,ac,600,395.8700,
328,43485,2840139;2840140,ov,80,101.2200,
329,43486,1400122;2844467;2844468,ov,80,27.3700,
330,40689,791362,ov,50,16.9400,
331,40699,790965,ac,150,14.5200,
332,40701,1409270;1409271;2827471;2827472,ac,150,119.0100,4
333,40709,1380178;2811521;2811522,kpe,110,40.6200,
334,40718,790553,kpe,110,1.9000,
