,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
2396,42222,1359953;1389879;1393135;1393136;1393141;1393147;1402339;1402345;1402346;1402351;1402357;1402363;1402369;1402375;1402376;2837327;2837328;40000569;40000570;43330393;43330394,ac,125,290.3800,
2397,29505792,29505812;29505820;29505821,kpe,110,50.8200,
2398,65455,2823720;2823721,kpe,160,15.1100,
2399,50344,1368449;1386044;2813553;2813554;6274791;9807017;40572071;40572072,kpe,110,151.5700,
2400,50353,1390770;1390771,kpe,110,43.4000,
2401,48899,1386954;1386970;1387600;1387605;1387611;1387617;1387618;63868209;63868210,ac,80,132.2400,3
2402,50748,1386030;1387252;1411019;1411020;2813664;2813665;6272164;6272165;6272808;6272809,kpe,110,228.8500,
2403,50074,2808561;2808562,gov,400,5.1000,
2404,49175,1407390;1407716;1407721;1407725;1407726,kpe,63,23.3400,
2405,74957,1392808;1392813;1392819;1392825;1392831;1392837;1392838;1392848;1392849;1392854;1392859;1392864;1392869;1392874;1392879;2806061;2806062,kpe,90,131.7000,
2406,74989,1396124;1396129;1396130,kpe,50,4.2700,
2407,72318,1391705;2806800;2806801,gov,300,4.6900,
2408,73371,782610,gov,250,49.5500,
2409,75126,2814640;2814641,kpe,90,33.2800,
2410,75876,782154,gov,300,6.9900,
2411,50367,1393550;2814507;2814508;6274658;6274659,kpe,160,64.5400,
2412,49354,2808299;2808300,gov,200,21.7400,
2413,73087,782255,gov,400,59.8200,
2414,73098,2809942;2809943,gov,200,1.9000,
2415,49369,779667,a,80,8.6900,
2416,72617,777928,kpe,110,0.2400,
2417,86679296,86679307;86679308,kpe,90,5.0000,
2418,49510,2808780;6274317;6274318,gov,100,43.6700,
2419,72508,1366600;1366991;1397014;2820198;2820199;2821595;2821596;6273193;6273194,kpe,160,86.3400,
2420,50538,2814620;15259066;15259067,kpe,90,34.4900,
2421,73274,781816,gov,200,172.7100,
2422,65624,2809353;2842303,kpe,160,6.8800,
2423,65634,1386194;1386195;1386538;1386630;1386637;1393780;1394625;1394626;1394632;1394633;2811154;2811155,ac,125,99.5800,
2424,65643,6290143;6290144,kpe,250,81.5200,
2425,65968,1410950;2814127;2814128;2814151;2814152;6270840;6270845;6270846;6272306;6272323;6272334;6272346;6272351;6272352;6272373;6272379;6272380;6272391;6272392;6272668;6272669;6272674;6272675;6272734;6272735;6272783;6273106;6273107;6273112;6273113;6273118;6273119;6273124;6273125;15259053;15259054,ac,80,230.7100,
2426,65783,2813156;2813157,ac,100,7.6000,
2427,65792,1368439;1368440,kpe,110,50.9200,
2428,65802,1350130;1350134;1350139;1350144;1350145,kpe,160,71.4600,
2429,69966,778707,gov,300,117.5400,
2430,44425,1359766;1393434;1411311;2840011;2840012;5810172;6273247;6273248;6273798;6273799;28820725;40030668;40030669,kpe,110,149.3200,
2431,44434,1371562;1373128;1373129;1373196;1373197;1375010;1376085;1376086;5810191;5810192,kpe,90,192.9400,
2432,44444,794498,kpe,110,1.7700,
2433,44464,1388977;1388987;1388992;1388993;2829747;2829748;7846244;7846245;7846257;7846258,kpe,90,70.9600,
2434,45568,1361490;1361494;1375090;1375091,ac,100,43.8900,
